Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Anthony Brown	2016	2018	F-G	6-7	210	October 10, 1992	Stanford
Bob Brown	1949	1950	F	6-4	205	November 12, 1923	Miami University
Bobby Brown	2009	2018	G	6-2	175	September 24, 1984	Cal State Fullerton
Bruce Brown	2019	2024	G-F	6-4	202	August 15, 1996	Miami (FL)
Charlie Brown Jr.	2020	2024	G	6-6	199	February 2, 1997	Saint Joseph's
Chaundee Brown Jr.	2022	2022	G-F	6-5	215	December 4, 1998	Wake Forest, Michigan
Chucky Brown	1990	2002	F	6-7	214	February 29, 1968	NC State
Damone Brown	2002	2005	F	6-9	200	June 28, 1979	Syracuse
Darrel Brown	1949	1949	F	6-2	175	March 14, 1923	Humboldt State University
Dee Brown	1991	2002	G	6-1	160	November 29, 1968	Jacksonville University
Dee Brown	2007	2009	G	6-0	185	August 17, 1984	Illinois
Derrick Brown	2010	2012	F	6-7	225	September 8, 1987	Xavier
Devin Brown	2003	2010	G	6-5	220	December 30, 1978	Texas-San Antonio
Ernest Brown	2002	2002	C	7-0	244	May 17, 1979	Indian Hills Community College
Fred Brown	1972	1984	G	6-3	182	August 7, 1948	Iowa
George Brown	1958	1958	F	6-6	190	October 30, 1935	Wayne State University
Gerald Brown	1999	1999	G	6-4	210	July 28, 1975	Pepperdine
Greg Brown III	2022	2024	F	6-7	205	September 1, 2001	Texas
Harold Brown	1947	1947	G	6-0	155	October 2, 1923	University of Evansville
Jabari Brown	2015	2015	G	6-4	215	December 18, 1992	Oregon, Missouri
Jaylen Brown	2017	2024	F-G	6-6	223	October 24, 1996	California
John Brown	1974	1980	F	6-7	220	December 14, 1951	Missouri
Kedrick Brown	2002	2005	G	6-7	222	March 18, 1981	Okaloosa-Walton Community College
Kendall Brown	2023	2024	G-F	6-8	205	May 11, 2003	Baylor
Kobe Brown	2024	2024	G-F	6-7	250	January 1, 2000	Missouri
Kwame Brown	2002	2013	F	6-11	270	March 10, 1982	
Larry Brown*	1968	1972	G	5-9	160	September 14, 1940	UNC
Leon Brown	1947	1947	F	6-3	190	October 12, 1919	Wyoming
Lewis Brown	1981	1981	C	6-11	225	February 19, 1955	UNLV
Lorenzo Brown	2014	2019	G	6-5	189	August 26, 1990	NC State
Marcus Brown	1997	2000	G	6-3	185	April 3, 1974	Murray State
Markel Brown	2015	2018	G	6-3	190	January 29, 1992	Oklahoma State
Mike Brown	1987	1997	C-F	6-9	257	July 19, 1963	George Washington
Moses Brown	2020	2024	C	7-2	245	October 13, 1999	UCLA
Myron Brown	1992	1992	G	6-3	180	November 3, 1969	Slippery Rock University of Pennsylvania
P.J. Brown	1994	2008	F-C	6-11	225	October 14, 1969	Louisiana Tech
Randy Brown	1992	2003	G	6-2	190	May 22, 1968	Houston, New Mexico State
Raymond Brown	1990	1990	F	6-8	220	July 5, 1965	Mississippi State, Idaho
Rickey Brown	1981	1985	C-F	6-10	215	August 20, 1958	Mississippi State
Roger Brown*	1968	1975	F-G	6-5	205	May 22, 1942	Dayton
Roger Brown	1973	1980	C	6-11	225	February 23, 1950	Kansas
Shannon Brown	2007	2015	G	6-4	205	November 29, 1985	Michigan State
Stan Brown	1948	1952	F	6-3	200	June 27, 1929	
Sterling Brown	2018	2023	G	6-5	219	February 10, 1995	SMU
Tierre Brown	2002	2005	G	6-2	189	June 3, 1979	McNeese State University
Tony Brown	1985	1992	F-G	6-6	185	July 29, 1960	Arkansas
Troy Brown Jr.	2019	2024	G-F	6-6	215	July 28, 1999	Oregon
Jim Browne	1949	1950	C	6-10	235	January 1, 1930	
Stanley Brundy	1990	1990	F	6-6	210	November 13, 1967	DePaul
Brian Brunkhorst	1969	1969	F	6-6	208	June 12, 1945	Marquette
George Bruns	1973	1973	G	6-0	160	August 30, 1946	Manhattan College
Jalen Brunson	2019	2024	G	6-2	190	August 31, 1996	Villanova
Rick Brunson	1998	2006	G	6-4	190	June 14, 1972	Temple
Nicolás Brussino	2017	2018	G-F	6-7	195	March 2, 1993	
Elijah Bryant	2021	2021	G	6-5	210	April 19, 1995	Elon University, BYU
Em Bryant	1965	1972	G	6-1	175	November 4, 1938	DePaul
Joe Bryant	1976	1983	F-C	6-9	185	October 19, 1954	La Salle
Kobe Bryant*	1997	2016	G-F	6-6	212	August 23, 1978	
Mark Bryant	1989	2003	F-C	6-9	245	April 25, 1965	Seton Hall
Thomas Bryant	2018	2024	C	6-10	248	July 31, 1997	Indiana
Wallace Bryant	1984	1986	C	7-0	245	July 14, 1959	San Francisco
Torgeir Bryn	1990	1990	C	6-9	250	August 8, 1964	Texas State University
George Bucci	1976	1976	G	6-3	200	July 9, 1953	Manhattan College
Shaq Buchanan	2022	2022	G	6-3	190	January 30, 1997	Northeast Mississippi Community College, Murray State
Joe Buckhalter	1962	1963	F	6-7	210	August 1, 1937	Tennessee State
Steve Bucknall	1990	1990	G	6-6	215	March 17, 1966	UNC
Cleveland Buckner	1962	1963	F-C	6-9	210	August 17, 1938	Jackson State University
Greg Buckner	2000	2009	G	6-4	210	September 16, 1976	Clemson
Quinn Buckner	1977	1986	G	6-3	190	August 20, 1954	Indiana
Dave Budd	1961	1965	F	6-6	205	October 28, 1938	Wake Forest
Chase Budinger	2010	2016	F	6-7	209	May 22, 1988	Arizona
Walt Budko	1949	1952	F-C	6-5	220	July 30, 1925	Columbia University
Jud Buechler	1991	2002	F-G	6-6	220	June 19, 1968	Arizona
Kobe Bufkin	2024	2024	G	6-4	195	September 21, 2003	Michigan
Rodney Buford	2000	2005	G-F	6-5	189	November 2, 1977	Creighton
Matt Bullard	1991	2002	F	6-10	215	June 5, 1967	Colorado, Iowa
Reggie Bullock	2014	2024	G-F	6-6	205	March 16, 1991	UNC
Larry Bunce	1968	1969	C	7-0	240	July 29, 1945	Texas-El Paso, Riverside Community College, Utah State University
Greg Bunch	1979	1979	F	6-6	190	May 15, 1956	Cal State Fullerton
Dick Bunt	1953	1953	G	6-0	170	July 13, 1930	NYU
Bill Buntin	1966	1966	C-F	6-7	250	May 5, 1942	Michigan
Bill Bunting	1970	1972	F-C	6-8	200	August 26, 1947	UNC
Ticky Burden	1976	1978	G	6-2	185	February 28, 1953	Utah
Pat Burke	2003	2007	C-F	6-11	250	December 14, 1973	Auburn
Trey Burke	2014	2022	G	6-0	185	November 12, 1992	Michigan
Roger Burkman	1982	1982	G	6-5	175	May 22, 1958	Louisville
Alec Burks	2012	2024	G	6-6	214	July 20, 1991	Colorado
Antonio Burks	2005	2006	G	6-1	200	February 25, 1980	Memphis
Kevin Burleson	2006	2006	G	6-3	205	September 4, 1979	Minnesota
Tom Burleson	1975	1981	C	7-2	225	February 24, 1952	NC State
Jack Burmaster	1950	1950	G	6-3	190	December 23, 1926	Illinois
David Burns	1982	1982	G	6-2	180	July 3, 1958	Saint Louis
Evers Burns	1994	1994	F	6-8	260	August 24, 1971	Maryland
Jim Burns	1968	1968	G	6-3	195	September 21, 1945	Northwestern
Scott Burrell	1994	2001	G-F	6-7	218	January 12, 1971	UConn
Art Burris	1951	1952	F	6-5	220	April 7, 1924	Tennessee
Junior Burrough	1996	1996	F	6-8	242	January 18, 1973	Virginia
Bob Burrow	1957	1958	C-F	6-7	228	June 29, 1934	Kentucky
Deonte Burton	2019	2023	G	6-4	240	January 31, 1994	Marquette, Iowa State
Ed Burton	1962	1965	F	6-6	225	August 13, 1939	Michigan State
Willie Burton	1991	1999	F-G	6-8	210	May 26, 1968	Minnesota
Steve Burtt	1985	1993	G	6-2	185	November 5, 1962	Iona College
Don Buse	1973	1985	G	6-4	190	August 10, 1950	University of Evansville
David Bustion	1973	1973	F	6-8	215	August 30, 1949	Northeastern Junior College, Denver
Donnie Butcher	1962	1966	G	6-2	200	February 8, 1936	Pikeville College
Al Butler	1962	1965	G	6-2	175	July 9, 1938	Niagara University
Caron Butler	2003	2016	F	6-7	228	March 13, 1980	UConn
Greg Butler	1989	1991	C	6-11	240	March 11, 1966	Stanford
Jackie Butler	2005	2007	F-C	6-10	250	March 10, 1985	
Jared Butler	2022	2024	G	6-3	195	August 25, 2000	Baylor
Jimmy Butler	2012	2024	F-G	6-7	230	September 14, 1989	Marquette
John Butler	2023	2023	C	7-0	175	December 4, 2002	Florida State
Mike Butler	1969	1972	G	6-2	170	October 22, 1946	Memphis
Mitchell Butler	1994	2004	G-F	6-5	210	December 15, 1970	UCLA
Rasual Butler	2003	2016	F-G	6-7	215	May 23, 1979	La Salle
Dwight Buycks	2014	2018	G	6-3	190	March 6, 1989	Marquette
Derrick Byars	2012	2012	F	6-7	220	April 25, 1984	Virginia, Vanderbilt
Andrew Bynum	2006	2014	C	7-0	285	October 27, 1987	
Will Bynum	2006	2015	G	6-0	185	January 4, 1983	Arizona, Georgia Tech
Walt Byrd	1970	1970	F	6-7	205		Temple
Marty Byrnes	1979	1983	F	6-7	215	April 30, 1956	Syracuse
Tommy Byrnes	1947	1951	F-G	6-3	175	February 19, 1923	Seton Hall
Michael Bytzura	1947	1947	F	6-1	170	June 18, 1922	Long Island University
