Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Nate Wolters	2014	2018	G	6-4	190.0	May 15, 1991	South Dakota State
Isaiah Wong	2024	2024	G	6-4	184.0	January 28, 2001	Miami (FL)
Al Wood	1982	1987	G-F	6-6	193.0	June 2, 1958	UNC
Bob Wood	1950	1950	G	5-10		October 7, 1921	Northern Illinois
Christian Wood	2016	2024	F	6-8	214.0	September 27, 1995	UNLV
David Wood	1989	1997	F	6-9	227.0	November 30, 1964	Nevada
Howard Wood	1982	1982	F	6-7	235.0	May 20, 1959	Tennessee
Leon Wood	1985	1991	G	6-3	185.0	March 25, 1962	Arizona, Cal State Fullerton
Robert Woodard II	2021	2022	F	6-6	235.0	September 22, 1999	Mississippi State
Loren Woods	2002	2008	F-C	7-1	245.0	June 21, 1978	Wake Forest, Arizona
Qyntel Woods	2003	2006	F	6-8	221.0	February 16, 1981	Northeast Mississippi Community College
Randy Woods	1993	1996	G	5-10	185.0	September 23, 1970	La Salle
Tommy Woods	1968	1968	F	6-7	210.0	June 10, 1943	East Tennessee State University
Mike Woodson	1981	1991	G-F	6-5	195.0	March 24, 1958	Indiana
Bob Woollard	1970	1970	C	6-10	225.0	July 27, 1940	Wake Forest
Orlando Woolridge	1982	1994	F	6-9	215.0	December 16, 1959	Notre Dame
Haywoode Workman	1990	2000	G	6-2	180.0	January 23, 1966	Winston-Salem State, Oral Roberts
Mark Workman	1953	1954	F-C	6-9	215.0	March 10, 1930	West Virginia
Tom Workman	1968	1971	F-C	6-7	218.0	November 14, 1944	Seattle University
Metta World Peace	2000	2017	F	6-7	260.0	November 13, 1979	St. John's
Willie Worsley	1969	1969	G	5-9	175.0	November 13, 1945	Texas-El Paso
Sam Worthen	1981	1982	G	6-5	195.0	January 17, 1958	Marquette
James Worthy*	1983	1994	F	6-9	225.0	February 27, 1961	UNC
Antoine Wright	2006	2011	G-F	6-7	210.0	February 6, 1984	Texas A&M
Bracey Wright	2006	2007	G	6-3	210.0	July 1, 1984	Indiana
Brad Wright	1987	1988	F	6-11	225.0	March 26, 1962	UCLA
Brandan Wright	2008	2018	F-C	6-10	210.0	October 5, 1987	UNC
Chris Wright	2012	2014	F	6-8	226.0	September 30, 1988	Dayton
Chris Wright	2013	2013	G	6-1	210.0	November 4, 1989	Georgetown
Delon Wright	2016	2024	G	6-5	185.0	April 26, 1992	Utah
Dorell Wright	2005	2015	F-G	6-9	205.0	December 2, 1985	
Howard Wright	1991	1993	F	6-8	220.0	December 20, 1967	Stanford
Howie Wright	1971	1972	G	6-3	185.0	February 22, 1947	Austin Peay State University
Joby Wright	1973	1976	F-C	6-8	220.0	September 5, 1950	Indiana
Julian Wright	2008	2011	F	6-8	225.0	May 20, 1987	Kansas
Larry Wright	1977	1982	G	6-1	160.0	November 23, 1954	Grambling State University
Leroy Wright	1968	1969	F	6-9	215.0	May 6, 1938	University of the Pacific
Lonnie Wright	1968	1972	G	6-2	205.0	January 23, 1945	Colorado State
Lorenzen Wright	1997	2009	F-C	6-11	225.0	November 4, 1975	Memphis
Luther Wright	1994	1994	C	7-2	270.0	September 22, 1971	Seton Hall
McKinley Wright IV	2022	2023	G	6-0	196.0	October 25, 1998	Colorado
Moses Wright	2022	2022	F	6-9	233.0	December 23, 1998	Georgia Tech
Sharone Wright	1995	1998	F-C	6-11	260.0	January 30, 1973	Clemson
Justin Wright-Foreman	2020	2020	G	6-0	190.0	October 27, 1997	Hofstra
Tony Wroten	2013	2016	G	6-6	205.0	April 13, 1993	Washington
Dennis Wuycik	1973	1975	F	6-6	215.0	March 29, 1950	UNC
A.J. Wynder	1991	1991	G	6-2	180.0	September 11, 1964	UMass, Fairfield
