Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Norm Stewart	1957	1957	F	6-5	205	January 20, 1935	Missouri
Greg Stiemsma	2012	2015	C	6-11	260	September 26, 1985	Wisconsin
Steve Stipanovich	1984	1988	C	6-11	245	November 17, 1960	Missouri
Bryant Stith	1993	2002	G	6-5	208	December 10, 1970	Virginia
Sam Stith	1962	1962	G	6-2	185	July 22, 1937	St. Bonaventure
Tom Stith	1963	1963	F	6-5	210	January 21, 1939	St. Bonaventure
Alex Stivrins	1986	1993	F	6-8	220	November 29, 1962	Creighton, Colorado
David Stockton	2015	2018	G	5-11	165	June 24, 1991	Gonzaga
John Stockton*	1985	2003	G	6-1	170	March 26, 1962	Gonzaga
Peja Stojaković	1999	2011	F	6-10	229	June 9, 1977	
Ed Stokes	1998	1998	C	7-0	264	September 3, 1971	Arizona
Greg Stokes	1986	1990	F-C	6-10	220	August 5, 1963	Iowa
Jarnell Stokes	2015	2017	F-C	6-9	263	January 7, 1994	Tennessee
Maurice Stokes*	1956	1958	F-C	6-7	232	June 17, 1933	Saint Francis University
Art Stolkey	1947	1947	G	6-1	180	October 23, 1920	Detroit Mercy
Randy Stoll	1968	1968	C	6-7	235		Washington State
Diamond Stone	2017	2017	C	6-11	255	February 10, 1997	Maryland
George Stone	1969	1972	F	6-7	195	February 9, 1946	Marshall
Julyan Stone	2012	2018	G	6-6	200	December 7, 1988	Texas-El Paso
Awvee Storey	2005	2008	G-F	6-6	222	April 18, 1977	Illinois, Arizona State
Damon Stoudamire	1996	2008	G	5-10	171	September 3, 1973	Arizona
Salim Stoudamire	2006	2008	G	6-1	179	October 11, 1982	Arizona
Amar'e Stoudemire	2003	2016	F-C	6-10	245	November 16, 1982	
Paul Stovall	1973	1974	F	6-4	215	August 16, 1948	Pratt Community College, Arizona State
D.J. Strawberry	2008	2008	G	6-5	201	June 15, 1985	Maryland
Joe Strawder	1966	1968	C	6-10	235	September 21, 1940	Bradley
Julian Strawther	2024	2024	F	6-7	205	April 18, 2002	Gonzaga
Bill Stricker	1971	1971	F	6-9	210	January 22, 1948	University of the Pacific
Erick Strickland	1997	2005	G	6-3	210	November 25, 1973	Nebraska
Mark Strickland	1995	2003	F	6-9	210	July 14, 1970	Temple
Rod Strickland	1989	2005	G	6-3	175	July 11, 1966	DePaul
Roger Strickland	1964	1964	F	6-5	200	September 4, 1940	Jacksonville University
John Stroeder	1988	1989	F	6-10	260	July 24, 1958	Montana
Derek Strong	1992	2001	F	6-8	220	February 9, 1968	Xavier
Lamont Strothers	1992	1993	G	6-4	190	May 10, 1968	Christopher Newport University
John Stroud	1981	1981	F	6-7	215	October 29, 1957	Ole Miss
Red Stroud	1968	1968	G	6-0	160	May 2, 1941	Mississippi State
Max Strus	2020	2024	G	6-5	215	March 28, 1996	Lewis (IL), DePaul
Rodney Stuckey	2008	2017	G	6-5	210	April 21, 1986	Eastern Washington
Gene Stump	1948	1950	F-G	6-2	185	August 9, 1925	DePaul
Stan Stutz	1947	1949	G-F	5-10	170	April 14, 1920	Rhode Island
Jalen Suggs	2022	2024	G	6-5	205	June 3, 2001	Gonzaga
Gary Suiter	1971	1971	C-F	6-9	225	January 18, 1945	Midwestern State University
Jared Sullinger	2013	2017	F	6-9	260	March 4, 1992	Ohio State
DaJuan Summers	2010	2013	F	6-8	230	January 24, 1988	Georgetown
Edmond Sumner	2018	2023	G	6-4	196	December 31, 1995	Xavier
Barry Sumpter	1989	1989	F-C	6-11	215	November 11, 1965	Louisville, Austin Peay State University
Don Sunderlage	1954	1955	G	6-1	180	December 20, 1929	Illinois
Bruno Šundov	1999	2005	C	7-2	220	February 10, 1980	
Jon Sundvold	1984	1992	G	6-2	170	July 2, 1961	Missouri
Bob Sura	1996	2005	G	6-5	200	March 25, 1973	Florida State
Dick Surhoff	1953	1954	F	6-4	210	November 16, 1929	Long Island University
George Sutor	1968	1970	C	6-8	235	September 14, 1943	La Salle
Dane Suttle	1984	1985	G	6-3	190	August 9, 1961	Pepperdine
Greg Sutton	1992	1996	G	6-2	170	December 3, 1967	Oral Roberts
Keith Swagerty	1969	1970	F	6-7	235	October 30, 1945	University of the Pacific
Bennie Swain	1959	1959	F	6-8	220	December 16, 1933	Texas Southern
Caleb Swanigan	2018	2020	F	6-9	260	April 18, 1997	Purdue
Norm Swanson	1954	1954	F	6-6	210	October 4, 1930	Detroit Mercy
Dan Swartz	1963	1963	F	6-4	215	December 23, 1934	Morehead State University
Mike Sweetney	2004	2007	F	6-8	275	October 25, 1982	Georgetown
Cole Swider	2023	2024	F	6-9	220	May 8, 1999	Villanova, Syracuse
Robert Swift	2005	2009	C	7-0	245	December 3, 1985	
Skeeter Swift	1970	1974	G	6-3	204	June 19, 1946	East Tennessee State University
Stromile Swift	2001	2009	F	6-9	225	November 21, 1979	LSU
Aaron Swinson	1995	1995	F	6-5	230	January 9, 1971	Auburn
Craig Sword	2022	2022	G	6-3	196	January 16, 1994	Mississippi State
Pape Sy	2011	2011	F	6-7	225	April 5, 1988	
Buck Sydnor	1947	1947	G	5-10	175	September 19, 1921	Western Kentucky
Keifer Sykes	2022	2022	G	6-0	180	December 30, 1993	Green Bay
Larry Sykes	1996	1996	F	6-9	255	April 11, 1973	Xavier
Brett Szabo	1997	1997	C	6-11	230	February 1, 1968	Augustana College (SD)
Wally Szczerbiak	2000	2009	F	6-7	244	March 5, 1977	Miami University
Walt Szczerbiak	1972	1972	F	6-6	210	August 21, 1949	George Washington
